Year,State,State_Name,Percent_Adults,LowCI,HighCI,Sample_Size,Age,Education,Gender,Income,Race,Category,Sub_Category,status,Region
2013,US,National,28.8,28.1,29.5,62562.0,,,,"$50,000 - $74,999",,Income,"$50,000 - $74,999",Obese,Other
2013,US,National,32.7,31.9,33.5,60069.0,,,,Data not reported,,Income,Data not reported,Overweight,Other
2015,US,National,26.6,25.6,27.6,30904.0,,,,"Less than $15,000",,Income,"Less than $15,000",Very Active,Other
2011,US,National,35.4,33.0,37.9,6649.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Obese,Other
2012,US,National,35.1,34.6,35.7,120032.0,,Some college or technical school,,,,Education,Some college or technical school,Overweight,Other
2013,US,National,27.9,27.6,28.3,266452.0,,,Female,,,Gender,Female,Inactive,Other
2011,US,National,16.9,16.0,17.8,20923.0,18 - 24,,,,,Age (years),18 - 24,Inactive,Other
2013,US,National,31.5,30.5,32.5,27737.0,,,,,Hispanic,Race/Ethnicity,Hispanic,Obese,Other
2014,US,National,32.2,31.5,33.0,62892.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Obese,Other
2011,US,National,31.6,30.7,32.6,49576.0,,,,"Less than $15,000",,Income,"Less than $15,000",Overweight,Other
2016,US,National,34.2,33.5,35.0,66757.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Inactive,Other
2011,US,National,35.9,35.3,36.4,138961.0,,High school graduate,,,,Education,High school graduate,Overweight,Other
2015,US,National,56.1,51.7,60.5,1567.0,,,,,Other,Race/Ethnicity,Other,Active,Other
2015,US,National,29.1,28.7,29.5,176407.0,,,Male,,,Gender,Male,Obese,Other
2011,US,National,32.3,31.4,33.2,49598.0,,,,"Less than $15,000",,Income,"Less than $15,000",Obese,Other
2015,US,National,34.0,33.2,34.8,52626.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Inactive,Other
2013,US,National,33.2,30.8,35.7,7291.0,,,,,American Indian/Alaska Native,Race/Ethnicity,American Indian/Alaska Native,Overweight,Other
2011,US,National,35.5,34.6,36.4,48923.0,,,,"$25,000 - $34,999",,Income,"$25,000 - $34,999",Overweight,Other
2011,US,National,22.1,21.4,22.8,45883.0,25 - 34,,,,,Age (years),25 - 34,Inactive,Other
2011,US,National,28.1,27.5,28.6,109526.0,55 - 64,,,,,Age (years),55 - 64,Inactive,Other
2014,US,National,33.2,32.4,34.0,62892.0,,,,"$15,000 - $24,999",,Income,"$15,000 - $24,999",Overweight,Other
2013,US,National,36.6,32.8,40.6,2446.0,,,,,Other,Race/Ethnicity,Other,Overweight,Other
2015,US,National,32.5,30.7,34.5,8324.0,,,,,Asian,Race/Ethnicity,Asian,Overweight,Other
2017,US,National,20.0,18.2,21.9,8430.0,,,,,Asian,Race/Ethnicity,Asian,Inactive,Other
2015,US,National,23.2,19.9,26.8,1662.0,,,,,Other,Race/Ethnicity,Other,Inactive,Other
2013,US,National,39.5,38.9,40.0,152140.0,65 or older,,,,,Age (years),65 or older,Overweight,Other
2015,US,National,30.4,30.1,30.7,390656.0,,,,,,Total,Total,Physical Training,Other
